id;nombre;anio;min_jugadores;max_jugadores;duracion;rating;peso;categoria;dificultad_cooperativa
J101;Descartado 101;2022;2;4;30;0.8;1.5;Familiar;
J102;Descartado 102;2022;2;4;30;0.8;1.5;Familiar;
J103;Descartado 103;2022;2;4;30;0.8;1.5;Familiar;
J104;Descartado 104;2022;2;4;30;0.8;1.5;Familiar;
J105;Descartado 105;2022;2;4;30;0.8;1.5;Familiar;
J106;Descartado 106;2022;2;4;30;0.8;1.5;Familiar;
J107;Descartado 107;2022;2;4;30;0.8;1.5;Familiar;
J108;Descartado 108;2022;2;4;30;0.8;1.5;Familiar;
J109;Descartado 109;2022;2;4;30;0.8;1.5;Familiar;
J110;Descartado 110;2022;2;4;30;0.8;1.5;Familiar;
J111;Descartado 111;2022;2;4;30;0.8;1.5;Familiar;
J112;Descartado 112;2022;2;4;30;0.8;1.5;Familiar;
J113;Descartado 113;2022;2;4;30;0.8;1.5;Familiar;
J114;Descartado 114;2022;2;4;30;0.8;1.5;Familiar;
J115;Descartado 115;2022;2;4;30;0.8;1.5;Familiar;
J116;Descartado 116;2022;2;4;30;0.8;1.5;Familiar;
J117;Incompleto 117;2020;1;4
J118;Incompleto 118;2020;1;4
J119;Incompleto 119;2020;1;4
J120;Incompleto 120;2020;1;4
J121;Incompleto 121;2020;1;4
J122;Incompleto 122;2020;1;4
J123;Incompleto 123;2020;1;4
J124;Incompleto 124;2020;1;4
J125;Coop Loco 125;2020;1;4;30;7.0;2.0;Cooperativo;15
J126;Coop Loco 126;2020;1;4;30;7.0;2.0;Cooperativo;15
J127;Coop Loco 127;2020;1;4;30;7.0;2.0;Cooperativo;15
J128;Coop Loco 128;2020;1;4;30;7.0;2.0;Cooperativo;15
J129;Año Loco;1850;2;4;30;5.0;2.0;Familiar;
J130;Rating Loco;2020;1;4;30;11.0;2.0;Familiar;
J131;Peso Loco;2020;1;4;30;5.0;6.0;Familiar;
J132;Jugadores Raros;2020;5;2;30;5.0;2.0;Familiar;
J133;Error 133;2020;uno;4;30;5.0;2.0;Familiar;
J134;Error 134;2020;uno;4;30;5.0;2.0;Familiar;
J135;Error 135;2020;uno;4;30;5.0;2.0;Familiar;
J136;Error 136;2020;uno;4;30;5.0;2.0;Familiar;
J137;Error 137;2020;uno;4;30;5.0;2.0;Familiar;
J138;Error 138;2020;uno;4;30;5.0;2.0;Familiar;
J139;Error 139;2020;uno;4;30;5.0;2.0;Familiar;
J140;Error 140;2020;uno;4;30;5.0;2.0;Familiar;
